# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), epochs, reg., NRMSE (mean), (std)
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.7320,2.744955e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,4,1.00e-02,0.9713,1.837467e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.7039,1.870595e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,4,1.00e-06,1.0216,1.705659e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,2,1.00e-02,1.0877,2.239616e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,4,1.00e-02,34.8363,4.780157e+01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,2,1.00e-06,0.6778,1.956264e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,4,1.00e-06,0.7349,1.497248e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.6116,1.433243e-02
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,4,1.00e-02,0.8703,1.792193e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,0.7948,2.094504e-01
8,100,500,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,4,1.00e-06,0.9442,1.981788e-01
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.7053,3.497788e-01
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,4,1.00e-02,0.8139,1.564545e-01
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,0.5321,9.031798e-02
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,4,1.00e-06,0.6442,3.327334e-01
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,2,1.00e-02,121.6573,1.708461e+02
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,4,1.00e-02,0.7592,1.056270e-01
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,2,1.00e-06,0.6866,1.287392e-01
8,100,500,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,4,1.00e-06,0.5776,1.651008e-01
